Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Fats,Fiber,Magnesium,Potassium,Protein,Sodium,Sugar
Monterey Jack,Dairy,0.746,373.0,0.68,0.089,30.0,0.0,0.027,0.081,24.0,0.6,0.5
Muenster cheese,Dairy,0.717,368.0,1.1,0.096,30.0,0.0,0.027,0.134,23.0,0.628,1.1
Neufchâtel cheese,Dairy,0.117,253.0,3.6,0.074,23.0,0.0,0.01,0.152,9.2,0.334,3.2
Port Salut,Dairy,0.65,352.0,0.57,0.123,28.0,0.0,0.024,0.136,24.0,0.534,0.57
Provolone,Dairy,0.756,351.0,2.1,0.069,27.0,0.0,0.028,0.138,26.0,0.876,0.56
Ricotta,Dairy,0.207,174.0,3.0,0.051,13.0,0.0,0.011,0.105,11.0,0.084,0.27
Romano cheese,Dairy,1.064,387.0,3.6,0.104,27.0,0.0,0.041,0.086,32.0,1.433,0.73
Roquefort,Dairy,0.662,369.0,2.0,0.09,31.0,0.0,0.03,0.091,22.0,1.809,0.0
Swiss cheese,Dairy,0.89,393.0,1.4,0.093,31.0,0.0,0.033,0.072,27.0,0.187,0.0
Tilsit cheese,Dairy,0.7,340.0,1.9,0.102,26.0,0.0,0.013,0.065,24.0,0.753,0.0
Whipped cream,Dairy,0.101,257.0,12.0,0.076,22.0,0.0,0.011,0.147,3.2,0.008,8.0
Eggnog,Dairy,0.13,88.0,8.1,0.059,4.2,0.0,0.019,0.165,4.6,0.054,8.1
Milk,Dairy,0.125,42.0,5.0,0.005,0.97,0.0,0.011,0.15,3.4,0.044,5.2
Buttermilk,Dairy,0.116,40.0,4.8,0.004,0.88,0.0,0.011,0.151,3.3,0.19,4.8
Condensed milk,Dairy,0.284,321.0,54.0,0.034,8.7,0.0,0.026,0.371,7.9,0.127,54.0
Chocolate milk,Dairy,0.112,83.0,10.0,0.012,3.4,0.8,0.013,0.167,3.2,0.06,9.5
Hot chocolate,Dairy,0.114,77.0,11.0,0.008,2.3,1.0,0.023,0.197,3.5,0.044,9.7
Goat milk,Dairy,0.134,69.0,4.5,0.011,4.1,0.0,0.014,0.204,3.6,0.05,4.5
Milkshake,Dairy,0.146,112.0,18.0,0.012,3.0,0.0,0.012,0.183,3.9,0.095,18.0
