Food Name,Category Name,Calcium,Calories,Carbs,Cholesterol,Fats,Fiber,Magnesium,Potassium,Protein,Sodium,Sugar
Short ribs,Meat,0.012,471.0,0.0,0.094,42.0,0.0,0.015,0.224,22.0,0.05,0.0
Beef shank,Meat,0.032,201.0,0.0,0.078,6.4,0.0,0.03,0.447,34.0,0.064,0.0
T bone steak,Meat,0.019,217.0,0.0,0.081,11.0,0.0,0.02,0.28,27.0,0.068,0.0
Beef Liver,Meat,0.006,191.0,5.1,0.396,5.3,0.0,0.021,0.352,29.0,0.079,0.0
Corned beef,Meat,0.008,251.0,0.47,0.098,19.0,0.0,0.012,0.145,18.0,0.973,0.0
Pastrami,Meat,0.01,147.0,0.36,0.068,5.8,0.0,0.017,0.21,22.0,1.078,0.1
Pot roast,Meat,0.016,297.0,0.0,0.116,19.0,0.0,0.019,0.231,29.0,0.047,0.0
Beef ribs,Meat,0.01,372.0,0.0,0.085,30.0,0.0,0.02,0.29,23.0,0.064,0.0
Beef sirloin,Meat,0.022,177.0,0.0,0.081,5.0,0.0,0.027,0.41,31.0,0.066,0.0
Porterhouse steak,Meat,0.007,276.0,0.0,0.067,19.0,0.0,0.022,0.299,24.0,0.065,0.0
Ground beef,Meat,0.033,241.0,0.0,0.088,15.0,0.0,0.017,0.241,24.0,0.073,0.0
Brisket,Meat,0.016,289.0,0.0,0.106,18.0,0.0,0.019,0.232,29.0,0.048,0.0
Beefsteak,Meat,0.022,250.0,0.0,0.079,15.0,0.0,0.023,0.34,27.0,0.057,0.0
Beef tenderloin,Meat,0.009,324.0,0.0,0.085,25.0,0.0,0.022,0.331,24.0,0.057,0.0
Flank steak,Meat,0.02,192.0,0.0,0.079,8.2,0.0,0.023,0.339,28.0,0.056,0.0
Lamb,Meat,0.017,294.0,0.0,0.097,21.0,0.0,0.023,0.31,25.0,0.072,0.0
Lamb leg,Meat,0.009,230.0,0.0,0.069,17.0,0.0,0.023,0.249,18.0,0.056,0.0
Lamb loin,Meat,0.018,309.0,0.0,0.095,24.0,0.0,0.023,0.246,23.0,0.064,0.0
Lamb ribs,Meat,0.022,359.0,0.0,0.097,30.0,0.0,0.02,0.271,21.0,0.073,0.0
Lamb shoulder,Meat,0.018,279.0,0.0,0.092,20.0,0.0,0.023,0.259,23.0,0.065,0.0
Veal,Meat,0.017,172.0,0.0,0.103,7.6,0.0,0.024,0.337,24.0,0.083,0.0
Game,Meat,0.004,150.0,0.0,0.126,2.7,0.0,0.028,0.372,29.0,0.054,0.0
Bear meat,Meat,0.005,259.0,0.0,0.098,13.0,0.0,0.023,0.263,32.0,0.071,0.0
Bison meat,Meat,0.008,143.0,0.0,0.082,2.4,0.0,0.026,0.361,28.0,0.057,0.0
Caribou meat,Meat,0.022,167.0,0.0,0.109,4.4,0.0,0.027,0.31,30.0,0.06,0.0
Goat,Meat,0.017,143.0,0.0,0.075,3.0,0.0,0.0,0.405,27.0,0.086,0.0
Horse meat,Meat,0.008,175.0,0.0,0.068,6.1,0.0,0.025,0.379,28.0,0.055,0.0
Rabbit Meat,Meat,0.018,173.0,0.0,0.123,3.5,0.0,0.031,0.343,33.0,0.045,0.0
Elk meat,Meat,0.005,162.0,0.0,0.072,3.4,0.0,0.029,0.392,31.0,0.05,0.0
Deer meat,Meat,0.005,149.0,0.0,0.088,2.4,0.0,0.033,0.434,30.0,0.057,0.0
Chuck steak,Meat,0.016,277.0,0.0,0.087,20.0,0.0,0.022,0.325,25.0,0.071,0.0
Rib eye steak,Meat,0.011,291.0,0.0,0.08,22.0,0.0,0.022,0.26,24.0,0.054,0.0
Steak,Meat,0.012,271.0,0.0,0.078,19.0,0.0,0.023,0.279,25.0,0.058,0.0
Beef,Meat,0.013,169.0,0.0,0.085,6.5,0.0,0.014,0.352,28.0,0.054,0.0
Mutton,Meat,0.01,234.0,0.08,0.109,11.0,0.0,0.031,0.409,33.0,0.135,0.0
Frog legs,Meat,0.018,73.0,0.0,0.05,0.3,0.0,0.02,0.285,16.0,0.058,0.0
Allspice,Spices,0.661,263.0,72.0,0.0,8.7,22.0,0.135,1.044,6.1,0.077,0.0
Star anise,Spices,0.646,337.0,50.0,0.0,16.0,15.0,0.17,1.441,18.0,0.016,0.0
Bay leaf,Spices,0.834,313.0,75.0,0.0,8.4,26.0,0.12,0.529,7.6,0.023,0.0
Caraway spice,Spices,0.689,333.0,50.0,0.0,15.0,38.0,0.258,1.351,20.0,0.017,0.64
Cardamom,Spices,0.383,311.0,68.0,0.0,6.7,28.0,0.229,1.119,11.0,0.018,0.0
Chili powder spice,Spices,0.33,282.0,50.0,0.0,14.0,35.0,0.149,1.95,13.0,2.867,7.2
Cinnamon,Spices,1.002,247.0,81.0,0.0,1.2,53.0,0.06,0.431,4.0,0.01,2.2
Ground cloves,Spices,0.632,274.0,66.0,0.0,13.0,34.0,0.259,1.02,6.0,0.277,2.4
Coriander seeds,Spices,0.709,298.0,55.0,0.0,18.0,42.0,0.33,1.267,12.0,0.035,0.0
Cumin,Spices,0.931,375.0,44.0,0.0,22.0,11.0,0.366,1.788,18.0,0.168,2.3
Curry powder,Spices,0.525,325.0,56.0,0.0,14.0,53.0,0.255,1.17,14.0,0.052,2.8
Dill seeds,Spices,1.516,305.0,55.0,0.0,15.0,21.0,0.256,1.186,16.0,0.02,0.0
Dried dill weed,Spices,1.784,253.0,56.0,0.0,4.4,14.0,0.451,3.308,20.0,0.208,0.0
Fennel seeds,Spices,1.196,345.0,52.0,0.0,15.0,40.0,0.385,1.694,16.0,0.088,0.0
Fenugreek,Spices,0.176,323.0,58.0,0.0,6.4,25.0,0.191,0.77,23.0,0.067,0.0
Garlic powder,Spices,0.079,331.0,73.0,0.0,0.73,9.0,0.077,1.193,17.0,0.06,2.4
Ground ginger,Spices,0.114,335.0,72.0,0.0,4.2,14.0,0.214,1.32,9.0,0.027,3.4
Marjoram,Spices,1.99,271.0,61.0,0.0,7.0,40.0,0.346,1.522,13.0,0.077,4.1
Nutmeg,Spices,0.184,525.0,49.0,0.0,36.0,21.0,0.183,0.35,5.8,0.016,3.0
Onion powder,Spices,0.384,341.0,79.0,0.0,1.0,15.0,0.113,0.985,10.0,0.073,6.6
Oregano,Spices,1.597,265.0,69.0,0.0,4.3,43.0,0.27,1.26,9.0,0.025,4.1
Paprika,Spices,0.229,282.0,54.0,0.0,13.0,35.0,0.178,2.28,14.0,0.068,10.0
Dried parsely,Spices,1.14,292.0,51.0,0.0,5.5,27.0,0.4,2.683,27.0,0.452,7.3
Black pepper,Spices,0.443,251.0,64.0,0.0,3.3,25.0,0.171,1.329,10.0,0.02,0.64
Cayenne pepper,Spices,0.148,318.0,57.0,0.0,17.0,27.0,0.152,2.014,12.0,0.03,10.0
White pepper,Spices,0.265,296.0,69.0,0.0,2.1,26.0,0.09,0.073,10.0,0.005,0.0
Poppy seed,Spices,1.438,525.0,28.0,0.0,42.0,20.0,0.347,0.719,18.0,0.026,3.0
Poultry seasoning,Spices,0.996,307.0,66.0,0.0,7.5,11.0,0.224,0.684,9.6,0.027,1.8
Pumpkin pie spice,Spices,0.682,342.0,69.0,0.0,13.0,15.0,0.136,0.663,5.8,0.052,7.8
Dried rosemary,Spices,1.28,331.0,64.0,0.0,15.0,43.0,0.22,0.955,4.9,0.05,0.0
Saffron,Spices,0.111,310.0,65.0,0.0,5.9,3.9,0.264,1.724,11.0,0.148,0.0
Tarragon,Spices,1.139,295.0,50.0,0.0,7.2,7.4,0.347,3.02,23.0,0.062,0.0
Dried thyme,Spices,1.89,276.0,64.0,0.0,7.4,37.0,0.22,0.814,9.1,0.055,1.7
Turmeric,Spices,0.168,312.0,67.0,0.0,3.3,23.0,0.208,2.08,9.7,0.027,3.2
Mustard,Spices,0.063,60.0,5.8,0.0,3.3,4.0,0.048,0.152,3.7,1.104,0.92
Table salt,Spices,0.024,0.0,0.0,0.0,0.0,0.0,0.001,0.008,0.0,38.758,0.0
Apple cider vinegar,Spices,0.007,21.0,0.93,0.0,0.0,0.0,0.005,0.073,0.0,0.005,0.4
Vanilla extract,Spices,0.011,288.0,13.0,0.0,0.06,0.0,0.012,0.148,0.06,0.009,13.0
Vinegar,Spices,0.006,18.0,0.04,0.0,0.0,0.0,0.001,0.002,0.0,0.002,0.04
Caper,Spices,0.04,23.0,4.9,0.0,0.86,3.2,0.033,0.04,2.4,2.348,0.41
Horseradish,Spices,0.056,48.0,11.0,0.0,0.69,3.3,0.027,0.246,1.2,0.42,8.0
Spearmint,Spices,0.199,44.0,8.4,0.0,0.73,6.8,0.063,0.458,3.3,0.03,0.0
Balsamic vinegar,Spices,0.027,88.0,17.0,0.0,0.0,0.0,0.012,0.112,0.49,0.023,15.0
Taco seasoning,Spices,0.0,188.0,56.0,0.0,0.0,19.0,0.0,0.0,0.0,8.068,19.0
Mayonnaise,Spices,0.008,680.0,0.57,0.042,75.0,0.0,0.001,0.02,0.96,0.635,0.57
Cocoa solids,Spices,0.128,228.0,58.0,0.0,14.0,37.0,0.499,1.524,20.0,0.021,1.8
Alfalfa seeds,Nuts,0.032,23.0,2.1,0.0,0.69,1.9,0.027,0.079,4.0,0.006,0.2
Radish seeds,Nuts,0.051,43.0,3.6,0.0,2.5,0.0,0.044,0.086,3.8,0.006,0.0
Lotus seeds,Nuts,0.163,332.0,64.0,0.0,2.0,0.0,0.21,1.368,15.0,0.005,0.0
Safflower,Nuts,0.078,517.0,34.0,0.0,38.0,0.0,0.353,0.687,16.0,0.003,0.0
Acorns,Nuts,0.041,387.0,41.0,0.0,24.0,0.0,0.062,0.539,6.2,0.0,0.0
Almond,Nuts,0.269,579.0,22.0,0.0,50.0,13.0,0.27,0.733,21.0,0.001,4.4
Almond paste,Nuts,0.172,458.0,48.0,0.0,28.0,4.8,0.13,0.314,9.0,0.009,36.0
Beechnuts,Nuts,0.001,576.0,34.0,0.0,50.0,0.0,0.0,1.017,6.2,0.038,0.0
Brazil nut,Nuts,0.16,659.0,12.0,0.0,67.0,7.5,0.376,0.659,14.0,0.003,2.3
Cashew,Nuts,0.037,553.0,30.0,0.0,44.0,3.3,0.292,0.66,18.0,0.012,5.9
Chestnut,Nuts,0.046,131.0,28.0,0.0,1.4,0.0,0.054,0.715,2.0,0.027,0.0
Hazelnut,Nuts,0.114,628.0,17.0,0.0,61.0,9.7,0.163,0.68,15.0,0.0,4.3
Ginkgo nuts,Nuts,0.002,182.0,38.0,0.0,1.7,0.0,0.027,0.51,4.3,0.007,0.0
Hickory nut,Nuts,0.061,657.0,18.0,0.0,64.0,6.4,0.173,0.436,13.0,0.001,0.0
Macadamia,Nuts,0.085,718.0,14.0,0.0,76.0,8.6,0.13,0.368,7.9,0.005,4.6
Mixed nuts,Nuts,0.117,607.0,21.0,0.0,54.0,7.0,0.229,0.632,20.0,0.005,4.2
Pecan,Nuts,0.07,691.0,14.0,0.0,72.0,9.6,0.121,0.41,9.2,0.0,4.0
Pili nuts,Nuts,0.145,719.0,4.0,0.0,80.0,0.0,0.302,0.507,11.0,0.003,0.0
Pine nuts,Nuts,0.016,673.0,13.0,0.0,68.0,3.7,0.251,0.597,14.0,0.002,3.6
Pistachio,Nuts,0.105,560.0,27.0,0.0,45.0,11.0,0.121,1.025,20.0,0.001,7.7
Walnut,Nuts,0.098,654.0,14.0,0.0,65.0,6.7,0.158,0.441,15.0,0.002,2.6
Tahini,Nuts,0.426,595.0,21.0,0.0,54.0,9.3,0.095,0.414,17.0,0.115,0.49
Watermelon seeds,Nuts,0.054,557.0,15.0,0.0,47.0,0.0,0.515,0.648,28.0,0.099,0.0
Almond butter,Nuts,0.347,614.0,19.0,0.0,56.0,10.0,0.279,0.748,21.0,0.007,4.4
Castanea crenata,Nuts,0.031,154.0,35.0,0.0,0.53,0.0,0.049,0.329,2.3,0.014,0.0
Cashew butter,Nuts,0.061,609.0,30.0,0.0,53.0,3.0,0.206,0.447,12.0,0.295,9.1
Peanut,Nuts,0.092,567.0,16.0,0.0,49.0,8.5,0.168,0.705,26.0,0.018,4.7
Basil,Greens,0.177,23.0,2.7,0.0,0.64,1.6,0.064,0.295,3.2,0.004,0.3
Dill,Greens,0.208,43.0,7.0,0.0,1.1,2.1,0.055,0.738,3.5,0.061,0.0
Thyme,Greens,0.405,101.0,24.0,0.0,1.7,14.0,0.16,0.609,5.6,0.009,0.0
Rosemary,Greens,0.317,131.0,21.0,0.0,5.9,14.0,0.091,0.668,3.3,0.026,0.0
Peppermint,Greens,0.243,70.0,15.0,0.0,0.94,8.0,0.08,0.569,3.8,0.031,0.0
Garden rhubarb,Greens,0.086,21.0,4.5,0.0,0.2,1.8,0.012,0.288,0.9,0.004,1.1
Amaranth leaves,Greens,0.215,23.0,4.0,0.0,0.33,0.0,0.055,0.611,2.5,0.02,0.0
Rapini,Greens,0.108,22.0,2.9,0.0,0.49,2.7,0.022,0.196,3.2,0.033,0.38
Butterbur,Greens,0.103,14.0,3.6,0.0,0.04,0.0,0.014,0.655,0.39,0.007,0.0
Cardoon,Greens,0.07,17.0,4.1,0.0,0.1,1.6,0.042,0.4,0.7,0.17,0.0
Celery,Greens,0.04,16.0,3.0,0.0,0.17,1.6,0.011,0.26,0.69,0.08,1.3
Chard,Greens,0.058,20.0,4.1,0.0,0.08,2.1,0.086,0.549,1.9,0.179,1.1
Chives,Greens,0.092,30.0,4.4,0.0,0.73,2.5,0.042,0.296,3.3,0.003,1.9
Chrysanthemum,Greens,0.117,24.0,3.0,0.0,0.56,3.0,0.032,0.567,3.4,0.118,0.0
Marrow-stem Kale,Greens,0.232,32.0,5.4,0.0,0.61,4.0,0.027,0.213,3.0,0.017,0.46
Collard Greens,Greens,0.141,33.0,5.7,0.0,0.72,4.0,0.021,0.117,2.7,0.015,0.4
Coriander,Greens,0.067,23.0,3.7,0.0,0.52,2.8,0.026,0.521,2.1,0.046,0.87
Garden cress,Greens,0.081,32.0,5.5,0.0,0.7,1.1,0.038,0.606,2.6,0.014,4.4
Dandelion greens,Greens,0.187,45.0,9.2,0.0,0.7,3.5,0.036,0.397,2.7,0.076,0.71
Escarole,Greens,0.046,19.0,3.1,0.0,0.18,2.8,0.013,0.245,1.2,0.019,0.23
Drumstick leaves,Greens,0.185,64.0,8.3,0.0,1.4,2.0,0.042,0.337,9.4,0.009,0.0
Kale,Greens,0.072,28.0,5.6,0.0,0.4,2.0,0.018,0.228,1.9,0.023,1.3
Lambsquarters,Greens,0.309,43.0,7.3,0.0,0.8,4.0,0.034,0.452,4.2,0.043,0.0
Leek,Greens,0.059,61.0,14.0,0.0,0.3,1.8,0.028,0.18,1.5,0.02,3.9
Lettuce,Greens,0.036,15.0,2.9,0.0,0.15,1.3,0.013,0.194,1.4,0.028,0.78
Mustard Greens,Greens,0.118,26.0,4.5,0.0,0.47,2.0,0.013,0.162,2.6,0.009,1.4
Scallion,Greens,0.072,32.0,7.3,0.0,0.19,2.6,0.02,0.276,1.8,0.016,2.3
Welsh onion,Greens,0.018,34.0,6.5,0.0,0.4,2.4,0.023,0.212,1.9,0.017,2.2
Parsley,Greens,0.138,36.0,6.3,0.0,0.79,3.3,0.05,0.554,3.0,0.056,0.85
Pumpkin leaves,Greens,0.039,19.0,2.3,0.0,0.4,0.0,0.038,0.436,3.2,0.011,0.0
Purslane,Greens,0.065,20.0,3.4,0.0,0.36,0.0,0.068,0.494,2.0,0.045,0.0
Spinach,Greens,0.136,23.0,3.8,0.0,0.26,2.4,0.087,0.466,3.0,0.07,0.43
Sweet potato leaves,Greens,0.078,42.0,8.8,0.0,0.51,5.3,0.07,0.508,2.5,0.006,0.0
Taro leaves,Greens,0.107,42.0,6.7,0.0,0.74,3.7,0.045,0.648,5.0,0.003,3.0
Vine spinach (basella),Greens,0.109,19.0,3.4,0.0,0.3,0.0,0.065,0.51,1.8,0.024,0.0
Watercress,Greens,0.12,11.0,1.3,0.0,0.1,0.5,0.021,0.33,2.3,0.041,0.2
Borage,Greens,0.093,21.0,3.1,0.0,0.7,0.0,0.052,0.47,1.8,0.08,0.0
Drumstick tree,Greens,0.03,37.0,8.5,0.0,0.2,3.2,0.045,0.461,2.1,0.042,0.0
Arugula,Greens,0.16,25.0,3.7,0.0,0.66,1.6,0.047,0.369,2.6,0.027,2.1
Lemongrass,Greens,0.065,99.0,25.0,0.0,0.49,0.0,0.06,0.723,1.8,0.006,0.0
Grape leaves,Greens,0.363,93.0,17.0,0.0,2.1,11.0,0.095,0.272,5.6,0.009,6.3
Fireweed,Greens,0.429,103.0,19.0,0.0,2.8,11.0,0.156,0.494,4.7,0.034,0.0
Barley,Greens,0.011,123.0,28.0,0.0,0.44,3.8,0.022,0.093,2.3,0.003,0.28
Bulgur,Greens,0.01,83.0,19.0,0.0,0.24,4.5,0.032,0.068,3.1,0.005,0.1
Corn grain,Greens,0.007,365.0,74.0,0.0,4.7,7.3,0.127,0.287,9.4,0.035,0.64
Hominy,Greens,0.01,72.0,14.0,0.0,0.88,2.5,0.016,0.009,1.5,0.345,1.8
Bran,Greens,0.01,40.0,11.0,0.0,0.86,2.6,0.04,0.092,3.2,0.001,0.0
Triticale,Greens,0.037,336.0,72.0,0.0,2.1,0.0,0.13,0.332,13.0,0.005,0.0
Wild rice,Greens,0.003,101.0,21.0,0.0,0.34,1.8,0.032,0.101,4.0,0.003,0.73
Spinach pasta,Greens,0.043,289.0,56.0,0.073,2.1,0.0,0.063,0.272,11.0,0.027,0.0
Chow mein,Greens,0.02,475.0,73.0,0.0,15.0,3.7,0.052,0.12,8.1,1.174,5.7
Somen noodles,Greens,0.008,131.0,28.0,0.0,0.18,0.0,0.002,0.029,4.0,0.161,0.0
Barley flour,Greens,0.032,345.0,75.0,0.0,1.6,10.0,0.096,0.309,11.0,0.004,0.8
Rice noodles,Greens,0.004,108.0,24.0,0.0,0.2,1.0,0.003,0.004,1.8,0.019,0.03
Quinoa,Greens,0.017,120.0,21.0,0.0,1.9,2.8,0.064,0.172,4.4,0.007,0.87
Wheat,Greens,0.009,132.0,28.0,0.0,0.83,4.3,0.048,0.164,5.7,0.008,3.1
Spelt,Greens,0.01,127.0,26.0,0.0,0.85,3.9,0.049,0.143,5.5,0.005,0.0
Teff,Greens,0.049,101.0,20.0,0.0,0.65,2.8,0.05,0.107,3.9,0.008,0.0
Egg noodles,Greens,0.012,138.0,25.0,0.029,2.1,1.2,0.021,0.038,4.5,0.005,0.4
Millet flour,Greens,0.014,382.0,75.0,0.0,4.3,3.5,0.119,0.224,11.0,0.004,1.7
Fortune cookie,Sweets,0.012,378.0,84.0,0.002,2.7,1.6,0.007,0.041,4.2,0.031,45.0
Fruit leather,Sweets,0.018,359.0,83.0,0.0,2.7,0.0,0.014,0.164,1.0,0.403,58.0
Pretzel,Sweets,0.036,381.0,79.0,0.0,3.5,2.8,0.035,0.146,9.1,1.715,0.0
Tootsie roll,Sweets,0.036,387.0,88.0,0.002,3.3,0.1,0.022,0.116,1.6,0.044,56.0
Almond joy,Sweets,0.064,479.0,60.0,0.004,27.0,5.0,0.0,0.254,4.1,0.142,48.0
Bit-o-honey,Sweets,0.035,375.0,81.0,0.0,7.5,0.2,0.007,0.044,2.0,0.295,48.0
Butterfinger,Sweets,0.036,459.0,73.0,0.0,19.0,2.0,0.048,0.22,5.4,0.23,46.0
Butterscotch,Sweets,0.004,391.0,90.0,0.009,3.3,0.0,0.0,0.003,0.03,0.391,80.0
Carob,Sweets,0.303,540.0,56.0,0.001,31.0,3.8,0.036,0.633,8.2,0.107,34.0
Caramel,Sweets,0.138,382.0,77.0,0.007,8.1,0.0,0.017,0.214,4.6,0.245,66.0
Caramello,Sweets,0.213,462.0,64.0,0.027,21.0,1.2,0.0,0.341,6.2,0.122,57.0
White chocolate,Sweets,0.199,539.0,59.0,0.021,32.0,0.2,0.012,0.286,5.9,0.09,59.0
York peppermint pattie,Sweets,0.011,384.0,81.0,0.001,7.2,2.0,0.0,0.111,2.2,0.028,64.0
Twizzlers,Sweets,0.008,347.0,79.0,0.0,2.6,0.6,0.0,0.037,2.3,0.195,51.0
Crème caramel,Sweets,0.083,145.0,23.0,0.09,4.0,0.0,0.009,0.118,4.5,0.053,23.0
Ice cream,Sweets,0.128,207.0,24.0,0.044,11.0,0.7,0.014,0.199,3.5,0.08,21.0
Sherbet,Sweets,0.054,144.0,30.0,0.001,2.0,1.3,0.008,0.096,1.1,0.046,24.0
Fondant icing,Sweets,0.003,373.0,93.0,0.0,0.02,0.0,0.0,0.004,0.0,0.011,89.0
Fudge,Sweets,0.049,411.0,76.0,0.014,10.0,1.7,0.036,0.134,2.4,0.045,73.0
Goobers,Sweets,0.089,512.0,53.0,0.012,34.0,9.7,0.0,0.502,9.7,0.036,43.0
Gumdrop,Sweets,0.003,396.0,99.0,0.0,0.0,0.1,0.001,0.005,0.0,0.044,59.0
Jelly bean,Sweets,0.003,375.0,94.0,0.0,0.05,0.2,0.002,0.037,0.0,0.05,70.0
Kit Kat,Sweets,0.125,518.0,65.0,0.011,26.0,1.0,0.037,0.231,6.5,0.054,49.0
Baby ruth,Sweets,0.047,459.0,65.0,0.0,22.0,2.0,0.043,0.249,5.4,0.23,54.0
Marshmallow,Sweets,0.003,318.0,81.0,0.0,0.2,0.1,0.002,0.005,1.8,0.08,58.0
Halva,Sweets,0.033,469.0,60.0,0.0,22.0,4.5,0.218,0.187,12.0,0.195,0.0
Oh henry,Sweets,0.069,462.0,66.0,0.007,23.0,1.9,0.051,0.259,7.7,0.193,46.0
Chunky bar,Sweets,0.1,475.0,60.0,0.01,28.0,2.5,0.0,0.0,7.5,0.038,53.0
Banana pudding,Sweets,0.102,105.0,20.0,0.006,1.7,0.0,0.012,0.131,2.8,0.296,0.0
Chocolate pudding,Sweets,0.104,105.0,19.0,0.006,1.9,0.4,0.019,0.168,3.2,0.284,0.0
Milky way,Sweets,0.115,456.0,71.0,0.009,17.0,1.0,0.02,0.124,4.0,0.167,60.0
Skor bar,Sweets,0.03,541.0,64.0,0.053,30.0,1.3,0.01,0.153,3.1,0.317,60.0
M&Ms Peanut,Sweets,0.102,515.0,60.0,0.008,26.0,3.7,0.069,0.347,9.6,0.05,51.0
Mounds candy bar,Sweets,0.021,486.0,59.0,0.002,27.0,3.7,0.055,0.321,4.6,0.145,46.0
Mr. Goodbar,Sweets,0.11,538.0,54.0,0.01,33.0,3.8,0.047,0.394,10.0,0.041,47.0
100 grand bar,Sweets,0.076,468.0,71.0,0.012,19.0,1.0,0.025,0.163,2.5,0.203,52.0
Crunch bar,Sweets,0.1,500.0,67.0,0.013,26.0,1.9,0.0,0.305,5.0,0.15,55.0
Candy bar,Sweets,0.078,522.0,47.0,0.0,34.0,4.1,0.11,0.407,16.0,0.156,42.0
Raisinets,Sweets,0.085,422.0,71.0,0.011,17.0,2.2,0.0,0.0,4.4,0.033,59.0
Reeses cups,Sweets,0.078,515.0,55.0,0.006,31.0,3.6,0.062,0.343,10.0,0.357,47.0
Reese's pieces,Sweets,0.069,497.0,60.0,0.0,25.0,3.0,0.088,0.359,12.0,0.194,53.0
Rolo,Sweets,0.145,474.0,68.0,0.012,21.0,0.9,0.0,0.188,5.1,0.188,64.0
After eight,Sweets,0.013,432.0,80.0,0.0,12.0,2.4,0.0,0.0,1.7,0.001,67.0
Starburst,Sweets,0.0,408.0,83.0,0.0,8.2,0.0,0.001,0.002,0.41,0.002,58.0
3 musketeers,Sweets,0.054,436.0,78.0,0.005,13.0,1.5,0.029,0.133,2.6,0.194,67.0
Twix,Sweets,0.106,502.0,65.0,0.007,25.0,1.1,0.027,0.186,4.9,0.198,48.0
Whatchamacallit,Sweets,0.118,494.0,63.0,0.012,24.0,1.9,0.028,0.303,8.0,0.299,49.0
Chewing gum,Sweets,0.0,360.0,97.0,0.0,0.3,2.4,0.0,0.002,0.0,0.001,66.0
Cocoa bean,Sweets,0.111,220.0,58.0,0.0,13.0,30.0,0.476,2.509,18.0,0.019,1.8
Custard,Sweets,0.139,122.0,18.0,0.051,4.0,0.0,0.016,0.207,4.0,0.084,4.8
Gelatin dessert,Sweets,0.003,381.0,91.0,0.0,0.0,0.0,0.002,0.007,7.8,0.466,86.0
Mousse,Sweets,0.096,225.0,16.0,0.14,16.0,0.6,0.02,0.143,4.1,0.038,15.0
Apple crisp,Sweets,0.035,161.0,31.0,0.0,3.4,1.4,0.008,0.078,1.8,0.351,20.0
Flan,Sweets,0.024,348.0,92.0,0.0,0.0,0.0,0.0,0.153,0.0,0.432,0.0
Pudding,Sweets,0.106,120.0,20.0,0.009,3.2,0.8,0.02,0.15,3.2,0.098,12.0
Rice pudding,Sweets,0.105,111.0,21.0,0.006,1.6,0.1,0.013,0.13,3.3,0.109,0.0
Tapioca,Sweets,0.105,105.0,20.0,0.006,1.7,0.0,0.012,0.133,2.9,0.121,0.0
Praline,Sweets,0.043,485.0,60.0,0.0,26.0,3.5,0.049,0.217,3.3,0.048,56.0
Icing,Sweets,0.003,418.0,68.0,0.0,16.0,0.0,0.001,0.034,0.0,0.184,63.0
Reesesticks,Sweets,0.07,521.0,55.0,0.006,31.0,3.3,0.049,0.295,9.5,0.264,40.0
Reese's fast break,Sweets,0.061,474.0,62.0,0.004,23.0,2.9,0.048,0.284,8.7,0.33,53.0
Dove milk chocolate,Sweets,0.16,546.0,60.0,0.018,32.0,2.4,0.0,0.0,5.9,0.063,55.0
Chocolate ice cream,Sweets,0.109,216.0,28.0,0.034,11.0,1.2,0.029,0.249,3.8,0.076,25.0
Italian ice,Sweets,0.001,53.0,14.0,0.0,0.02,0.0,0.0,0.006,0.03,0.004,0.0
Ice pop,Sweets,0.0,79.0,19.0,0.0,0.24,0.0,0.001,0.015,0.0,0.007,14.0
Mars,Sweets,0.09,475.0,72.0,0.012,19.0,2.0,0.0,0.0,4.3,0.136,59.0
Honey,Sweets,0.006,304.0,82.0,0.0,0.0,0.2,0.002,0.052,0.3,0.004,82.0
Fruit preserves,Sweets,0.02,278.0,69.0,0.0,0.07,1.1,0.004,0.077,0.37,0.032,49.0
Marmalade,Sweets,0.038,246.0,66.0,0.0,0.0,0.7,0.002,0.037,0.3,0.056,60.0
Molasses,Sweets,0.205,290.0,75.0,0.0,0.1,0.0,0.242,1.464,0.0,0.037,75.0
Pectin,Sweets,0.007,325.0,90.0,0.0,0.3,8.6,0.001,0.007,0.3,0.2,0.0
Brown sugar,Sweets,0.083,380.0,98.0,0.0,0.0,0.0,0.009,0.133,0.12,0.028,97.0
Sugar,Sweets,0.001,387.0,100.0,0.0,0.0,0.0,0.0,0.002,0.0,0.001,100.0
Aspartame,Sweets,0.0,365.0,89.0,0.0,0.0,0.0,0.0,0.004,2.2,0.0,81.0
Maple sugar,Sweets,0.09,354.0,91.0,0.0,0.2,0.0,0.019,0.274,0.1,0.011,85.0
Corn syrup,Sweets,0.018,286.0,78.0,0.0,0.0,0.0,0.008,0.044,0.0,0.155,78.0
Maple syrup,Sweets,0.102,260.0,67.0,0.0,0.06,0.0,0.021,0.212,0.04,0.012,60.0
Sorghum syrup,Sweets,0.15,290.0,75.0,0.0,0.0,0.0,0.1,1.0,0.0,0.008,75.0
Snickers,Sweets,0.09,488.0,63.0,0.009,24.0,1.9,0.0,0.0,6.9,0.189,47.0
Skittles,Sweets,0.0,402.0,91.0,0.0,4.3,0.0,0.0,0.0,0.19,0.015,76.0
Taffy (candy),Sweets,0.008,397.0,92.0,0.009,3.3,0.0,0.0,0.003,0.03,0.052,68.0
Toffee,Sweets,0.034,560.0,65.0,0.104,33.0,0.0,0.004,0.051,1.1,0.135,63.0
Apricot jam,Sweets,0.02,242.0,64.0,0.0,0.2,0.3,0.004,0.077,0.7,0.04,43.0
Sucralose,Sweets,0.0,336.0,91.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,80.0
